,Name,Email,Key,Display Name,Active,Deleted,TimeZone,Locale,Self,AvtarUrl 16x16,AvtarUrl 24x24,AvtarUrl 32x32,AvtarUrl 48x48
0,admin,support@klera.io,JIRAUSER10000,Klera Services,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=admin,http://54.215.87.148:8080/secure/useravatar?size=xsmall&avatarId=10341,http://54.215.87.148:8080/secure/useravatar?size=small&avatarId=10341,http://54.215.87.148:8080/secure/useravatar?size=medium&avatarId=10341,http://54.215.87.148:8080/secure/useravatar?avatarId=10341
1,alice,noreplay@example.com,JIRAUSER10100,Alice Foo,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=alice,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
2,bob,noreplay@example.com,JIRAUSER10101,Bob Bar,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=bob,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
3,bud.lee@globality.com,bud.lee@globality.com,JIRAUSER10200,Bud,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=bud.lee@globality.com,https://www.gravatar.com/avatar/345a2346e54b6d1f91e8925db559a5bc?d=mm&s=16,https://www.gravatar.com/avatar/345a2346e54b6d1f91e8925db559a5bc?d=mm&s=24,https://www.gravatar.com/avatar/345a2346e54b6d1f91e8925db559a5bc?d=mm&s=32,https://www.gravatar.com/avatar/345a2346e54b6d1f91e8925db559a5bc?d=mm&s=48
4,asragab,noreplay@example.com,JIRAUSER10105,ASRagab,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=asragab,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
5,Kurt Angle,Dave.Chris@gmail.com,JIRAUSER10102,Davechris,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=Kurt+Angle,https://www.gravatar.com/avatar/64bd7a76c7eebd6b007262a0579b4985?d=mm&s=16,https://www.gravatar.com/avatar/64bd7a76c7eebd6b007262a0579b4985?d=mm&s=24,https://www.gravatar.com/avatar/64bd7a76c7eebd6b007262a0579b4985?d=mm&s=32,https://www.gravatar.com/avatar/64bd7a76c7eebd6b007262a0579b4985?d=mm&s=48
6,f.pompermaier,noreplay@example.com,JIRAUSER10108,f.pompermaier,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=f.pompermaier,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
7,gheo21,noreplay@example.com,JIRAUSER10111,gheo21,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=gheo21,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
8,MHenry,MarkHenry@gmail.com,JIRAUSER10103,Mark Henry,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=MHenry,https://www.gravatar.com/avatar/e7499eda6e62056b8df0b7e3fc385caa?d=mm&s=16,https://www.gravatar.com/avatar/e7499eda6e62056b8df0b7e3fc385caa?d=mm&s=24,https://www.gravatar.com/avatar/e7499eda6e62056b8df0b7e3fc385caa?d=mm&s=32,https://www.gravatar.com/avatar/e7499eda6e62056b8df0b7e3fc385caa?d=mm&s=48
9,ivan.mushketyk,noreplay@example.com,JIRAUSER10114,ivan.mushketyk,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=ivan.mushketyk,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
10,james,Jamesh@gmail.com,JIRAUSER10104,James,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=james,https://www.gravatar.com/avatar/6703adb5ce621b0faa90222740d51784?d=mm&s=16,https://www.gravatar.com/avatar/6703adb5ce621b0faa90222740d51784?d=mm&s=24,https://www.gravatar.com/avatar/6703adb5ce621b0faa90222740d51784?d=mm&s=32,https://www.gravatar.com/avatar/6703adb5ce621b0faa90222740d51784?d=mm&s=48
11,jark,noreplay@example.com,JIRAUSER10115,jark,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=jark,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
12,kkl0u,noreplay@example.com,JIRAUSER10117,kkl0u,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=kkl0u,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
13,wenlong.lwl,noreplay@example.com,JIRAUSER10131,wenlong.lwl,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=wenlong.lwl,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
14,pavelf,noreplay@example.com,JIRAUSER10121,PavelF,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=pavelf,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
15,ram_krish,noreplay@example.com,JIRAUSER10122,ram_krish,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=ram_krish,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
16,rmetzger,noreplay@example.com,JIRAUSER10123,rmetzger,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=rmetzger,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
17,sewen,noreplay@example.com,JIRAUSER10124,sewen,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=sewen,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
18,tiemsn,noreplay@example.com,JIRAUSER10128,tiemsn,True,False,UTC,en_US,http://54.215.87.148:8080/rest/api/2/user?username=tiemsn,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=16,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=24,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=32,https://www.gravatar.com/avatar/c567e3a76e53c7bd7d2dda08af2122e3?d=mm&s=48
